campana_id,nombre_campana,plataforma,fecha_inicio,fecha_fin,presupuesto,gasto_real,impresiones,clics,conversiones,revenue_generado,estado
1,Black Friday META,Meta,2023-11-01,2023-11-30,150000,148200,892000,12400,340,510000,ACTIVA
2,Google Search Brand,Google,2023-10-01,2023-12-31,80000,76500,410000,8900,210,315000,ACTIVA
3,Remarketing IG,Meta,2023-11-15,,45000,44100,320000,5600,89,133500,ACTIVA
4,YouTube Pre-roll,Google,2023-09-01,2023-11-30,60000,58900,1200000,3200,45,67500,FINALIZADA
5,Display Branding,Google,2023-10-15,2023-12-15,30000,29800,2800000,1800,12,18000,ACTIVA
6, META Leads Q4 ,Meta,2023-11-01,2023-12-31,90000,87600,560000,9800,180,270000,activa
7,TikTok Awareness,TikTok,2023-10-01,2023-11-30,25000,24700,3400000,4200,28,42000,FINALIZADA
8,Google Shopping,Google,2023-11-01,2023-12-31,110000,108900,780000,15600,420,630000,ACTIVA
9,META Catalogo,Meta,2023-11-20,2023-12-31,55000,53200,430000,7100,95,142500,ACTIVA
10,Email Retargeting,,2023-10-01,2023-12-31,15000,14800,180000,6200,310,465000,ACTIVA
11,Programmatic Display,DSP,2023-09-15,2023-11-15,40000,39200,5600000,2100,18,27000,FINALIZADA
12,Google Performance Max,Google,2023-11-01,2023-12-31,95000,93400,620000,11200,285,427500,ACTIVA
13,META Stories,Meta,2023-12-01,2023-12-31,35000,8900,180000,2800,42,63000,ACTIVA
14,LinkedIn B2B,LinkedIn,2023-10-01,2023-12-31,70000,68500,95000,1200,38,114000,ACTIVA
15,Google Demand Gen,Google,2023-11-15,2023-12-31,50000,48700,340000,4900,72,108000,ACTIVA
16,TikTok Conversion,TikTok,2023-11-01,2023-12-31,30000,29100,890000,6800,55,82500,ACTIVA
17,META Video,Meta,2023-10-01,2023-12-31,65000,63800,1100000,8200,120,180000,activa
18,Bing Search,Bing,2023-11-01,2023-12-31,20000,19600,210000,3400,48,72000,ACTIVA
19,Display Competencia,Google,,2023-12-31,45000,44100,980000,2900,35,52500,ACTIVA
20,META Prospecting,Meta,2023-11-01,2023-12-31,120000,117800,740000,13600,298,447000,ACTIVA
